product_id,product_name,category,price,actual_price,rating,rating_count,discount_percentage
B08L4SBJRY,"Saifsmart Outlet Wall Mount Hanger Holder for Dot 3rd Gen, Compact Bracket Case Plug and Built-in Ca",Electronics,349,1299,4,3295,73
B09X79PP8F,"MI 2-in-1 USB Type C Cable (Micro USB to Type C) 30cm for Smartphone, Headphone, Laptop (White)",Computers&Accessories,179,299,3.9,81,40
B082T6GVG9,"AmazonBasics New Release ABS USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for ",Computers&Accessories,689,1500,4.2,42301,54
B0B3XY5YT4,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UQ7500PSF (Ceramic Black),Electronics,30990,49990,4.3,1376,38
B0B4HKH19N,"pTron Solero 331 3.4Amps Multifunction Fast Charging Cable, 3-in-1 USB Cable Micro USB/Type-C/iOS, M",Computers&Accessories,249,931,3.9,1075,73
B08TGG316Z,"10k 8k 4k HDMI Cable, Certified 48Gbps 1ms Ultra High Speed HDMI 2.1 Cable 4k 120Hz 144Hz 2k 165Hz 8",Electronics,999,2399,4.6,3664,58
B071VMP1Z4,LRIPL Compatible Sony Bravia LCD/led Remote Works with Almost All Sony led/LCD tv's,Electronics,399,399,3.9,1951,0
B071SDRGWL,"boAt Type-c A400 Type-c to USB A Cable for All Type C Phones (Lg nexus 5x), 1Mtr(Black)",Computers&Accessories,349,699,4.3,20850,50
B08PSQRW2T,Zoul Type C to Type C Fast Charging Cable 65W 2M/6ft USB C Nylon Braided Cord Compatible with MacBoo,Computers&Accessories,399,1099,4.1,2685,64
B0859M539M,"TP-LINK AC1300 Archer T3U Plus High Gain USB 3.0 Wi-Fi Dongle, Wireless Dual Band MU-MIMO WiFi Adapt",Computers&Accessories,1699,2999,4.4,24780,43
B08RX8G496,LRIPL Mi Remote Control with Netflix & Prime Video Button Compatible for Mi 4X LED Android Smart TV ,Electronics,655,1099,3.2,285,40
B002SZEOLG,TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Lap,Computers&Accessories,749,1339,4.2,179692,44
B08CS3BT4L,Kodak 80 cm (32 inches) HD Ready Certified Android LED TV 32HDX7XPRO (Black),Electronics,9999,12999,4.2,6088,23
B00RFWNJMC,Airtel DigitalTV DTH Remote SD/HD/HD Recording Compatible for Television (Shining Black ),Electronics,195,499,3.7,1383,61
B082T6GXS5,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone",Computers&Accessories,999,2100,4.5,5492,52
B09CMQRQM6,"Ambrane Fast 100W Output Cable with Type-C to Type-C for Mobile, Laptop, Macbook & Table Charging, 4",Computers&Accessories,499,899,4.2,919,44
B005LJQMCK,BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Suppo,Electronics,416,599,4.2,30023,31
B09C6H53KH,"Duracell Type-C To Micro 1.2M braided Sync & Charge Cable, USB C to Micro Fast Charge Compatible for",Computers&Accessories,368,699,4.2,387,47
B0BB3CBFBM,VU 138 cm (55 inches) Premium Series 4K Ultra HD Smart IPS LED TV 55UT (Black),Electronics,29990,65000,4.1,211,54
B08QSDKFGQ,Zoul USB Type C Fast Charging 3A Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Gal,Computers&Accessories,339,1099,4.3,974,69
B08PV1X771,Samsung 80 cm (32 inches) Wondertainment Series HD Ready LED Smart TV UA32TE40AAKBXL (Titan Gray),Electronics,15490,20900,4.3,16299,26
B07YTNKVJQ,MI Xiaomi USB Type C HYperCharge Cable 6A 100cm Sturdy and Durable Black Supports 120W HyperCharging,Computers&Accessories,499,1299,4.3,30411,62
B0117H7GZ6,GENERIC Ultra-Mini Bluetooth CSR 4.0 USB Dongle Adapter for Windows Computer ( Black:Golden),Computers&Accessories,249,399,3.4,4642,38
B09XJ1LM7R,7SEVEN® Compatible for Tata Sky Remote Original Set Top HD Box and Suitable for SD Tata Play setup B,Electronics,399,799,4.3,12,50
B084N133Y7,"Belkin Apple Certified Lightning To Type C Cable, Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet",Computers&Accessories,1499,1999,4.4,1951,25
B088Z1YWBC,EGate i9 Pro-Max 1080p Native Full HD Projector 4k Support | 3600 L (330 ANSI ) | 150 (381 cm) Large,Electronics,9490,15990,3.9,10480,41
B07VSG5SXZ,"ZEBRONICS HAA2021 HDMI version 2.1 cable with 8K @ 60Hz, 4K @ 120Hz, eARC & CEC support, 3D compatib",Electronics,637,1499,4.1,24,58
B08RWCZ6SY,7SEVEN® Compatible for Sony Bravia LCD LED UHD OLED QLED 4K Ultra HD TV remote control with YouTube ,Electronics,399,899,3.9,254,56
B07KSB1MLX,AmazonBasics Digital Optical Coax to Analog RCA Audio Converter Adapter with Fiber Cable,Electronics,1089,1600,4,3565,32
B081FG1QYX,Wayona Type C Cable Nylon Braided USB C QC 3.0 Fast Charging Short Power Bank Cable for Samsung Gala,Computers&Accessories,339,999,4.3,6255,66
B08R69WBN7,"Pinnaclz Original Combo of 2 USB Type C Fast Charging Cable, USB C Data Cable for Charging and Data ",Computers&Accessories,149,499,4,7732,70
B0B3RHX6B6,Ambrane BCL-15 Lightning Cable for Smartphone (1.5m Black),Computers&Accessories,149,399,3.9,57,63
B084N18QZY,"Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Co",Computers&Accessories,599,849,4.5,577,29
B081NHWT6Z,LOHAYA Television Remote Compatible with Samsung Smart LED/LCD/HD TV Remote Control [ Compatible for,Electronics,299,1199,3.9,1193,75
B07JPJJZ2H,"Wayona Nylon Braided Lightning USB Data Sync & 3A Charging Cable for iPhones, iPad Air, iPad Mini, i",Computers&Accessories,399,1299,4.2,13120,69
B09JKNF147,Electvision Remote Control Compatible with Kodak/Thomson Smart led tv (Without Voice) Before Placing,Electronics,339,1999,4,343,83
B0B9959XF3,Acer 80 cm (32 inches) S Series HD Ready Android Smart LED TV AR32AR2841HDSB (Black),Electronics,12499,22990,4.3,1611,46
B09PNR6F8Q,"realme 10W Fast Charging Micro-USB Cable (Braided, Black)",Computers&Accessories,249,399,4,6558,38
B07M69276N,TP-Link AC1300 USB WiFi Adapter (Archer T3U) - 2.4G/5G Dual Band Mini Wireless Network Adapter for P,Computers&Accessories,1399,2499,4.4,23169,44
B0B1YZ9CB8,Acer 139 cm (55 inches) I Series 4K Ultra HD Android Smart LED TV AR55AR2851UDFL (Black),Electronics,32999,47990,4.3,4703,31
B09YLYB9PB,"Ambrane 60W / 3A Fast Charging Output Cable with Micro to USB for Mobile, Neckband, True Wireless Ea",Computers&Accessories,149,399,4,1423,63
B08CTNJ985,Wayona USB Type C 65W Fast Charging 2M/6Ft Long Flash Charge Cable 3A QC 3.0 Data Cable Compatible w,Computers&Accessories,325,999,4.3,2651,67
B0BP7XLX48,Syncwire LTG to USB Cable for Fast Charging Compatible with Phone 5/ 5C/ 5S/ 6/ 6S/ 7/8/ X/XR/XS Max,Computers&Accessories,399,1999,5,5,80
B09LHXNZLR,"Skadioo WiFi Adapter for pc | Car Accessories, WiFi Dongle for pc | USB WiFi Adapter for pc | Wi-Fi ",Computers&Accessories,199,499,3.7,612,60
B0B3N8VG24,"FLiX (Beetel USB to Type C PVC Data Sync & 15W(3A) TPE Fast Charging Cable, Made in India, 480Mbps D",Computers&Accessories,88,299,4,9378,71
B08PSVBB2X,Zoul USB C to USB C Fast Charging Cable 65W Type C to Type C Nylon Braided Cord Compatible with Macb,Computers&Accessories,399,1099,4.1,2685,64
B0B3MQXNFB,"FLiX (Beetel Flow USB to Micro USB PVC Data Sync & 12W(2.4A) Fast Charging Cable,Made in India,480Mb",Computers&Accessories,57.89,199,4,9378,71
B08XMSKKMM,7SEVEN® Bluetooth Voice Command Remote for Xiaomi Redmi Mi Smart TV with Netflix & Prime Video Hot K,Electronics,799,1999,3.3,576,60
B09L8DT7D6,Sony TV - Remote Compatible for Sony LED Remote Control Works with Sony LED TV by Trend Trail Speed ,Electronics,205,499,3.8,313,59
B00GE55L22,Storite USB 3.0 Cable A to Micro B high Speed Upto 5 Gbps Data Transfer Cable for Portable External ,Computers&Accessories,299,699,4.1,2957,57
B0162K34H2,"boAt LTG 500 Apple MFI Certified for iPhone, iPad and iPod 2Mtr Data Cable(Space Grey)",Computers&Accessories,849,999,4.1,6736,15
B0B8SRZ5SV,"AmazonBasics USB C to Lightning Aluminum with Nylon Braided MFi Certified Charging Cable (Grey, 1.2 ",Computers&Accessories,949,1999,4.4,13552,53
B07CWNJLPC,"AmazonBasics Double Braided Nylon USB Type-C to Type-C 2.0 Cable Smartphone (Dark Grey, 3 feet)",Computers&Accessories,499,1200,4.3,5451,58
B00NH12R1O,"Amazon Basics USB 3.0 Cable - A Male to Micro B - 6 Feet (1.8 Meters), Black",Computers&Accessories,299,485,4.3,10911,38
B0B8SSC5D9,"AmazonBasics USB C to Lightning Aluminum with Nylon Braided MFi Certified Charging Cable (Grey, 1.8 ",Computers&Accessories,949,1999,4.4,13552,53
B08WKG2MWT,Wayona Usb C 65W Fast Charging Cable Compatible For Tablets Samsung S22 S20 S10 S20Fe S21 S21 Ultra ,Computers&Accessories,379,1099,4.3,2806,66
B0B466C3G4,Karbonn 80 cm (32 inches) Millenium Bezel-Less Series HD Ready Smart LED TV KJW32SKHD (Phantom Black,Electronics,8990,18990,3.9,350,53
B005LJQMZC,BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Suppo,Electronics,486,1999,4.2,30023,76
